"","decreased","parameter","mean","sd","median","skew"
"1","Did not reproduce","target1",0.462474390199467,0.110457965012125,0.47754226090765,-0.496515645121583
"2","Did not reproduce","target2",0.426158174866717,0.113005124133569,0.445575133237796,-0.487553165435773
"3","Did not reproduce","target3",0.353930249693952,0.121651880623217,0.376674706065244,-0.529771506815579
"4","Did not reproduce","target4",0.390999481847546,0.117733464411254,0.411055798281826,-0.5293013684493
"5","Did not reproduce","target5",0.502143553460783,0.101398680234967,0.50718696948603,-0.301010706507692
"6","Did not reproduce","target6",0.540897136519328,0.0928555155983581,0.537430230185292,-0.0543905363111575
"7","Did not reproduce","thetaToken",0.193468846088276,0.0864249989091004,0.165482287062455,1.07706507037431
"8","Did not reproduce","thetaType",0.291271875821114,0.116456652065629,0.286377557553351,0.0821631845505397
"9","Did not reproduce","tokensd",0.010322552697965,0.00382804703717719,0.0104657777771354,-0.0859609477269251
"10","Did not reproduce","typesd",0.0309676580938951,0.0114841411115316,0.0313973333314061,-0.0859609477269246
"11","Reproduced","target1",0.342072092491332,0.102107460326293,0.324928561905999,0.888911714187073
"12","Reproduced","target2",0.320091488137496,0.108229335820792,0.303003103104556,0.828247468962593
"13","Reproduced","target3",0.282870500438776,0.12033959181388,0.268280134135205,0.721280080449382
"14","Reproduced","target4",0.301287351391829,0.114173242257791,0.287058259199836,0.775598890059717
"15","Reproduced","target5",0.358116736920649,0.0982540588047387,0.34310475180353,0.956376053849419
"16","Reproduced","target6",0.375253873481502,0.0941077478564828,0.362348840041483,0.957600718691143
"17","Reproduced","thetaToken",0.201021860775931,0.087503987452138,0.180350293359476,0.955620807191642
"18","Reproduced","thetaType",0.30884217679123,0.112464971155346,0.312612066976726,-0.133283990676169
"19","Reproduced","tokensd",0.00962020354904874,0.00389764333253432,0.00934201732898752,0.119497111452986
"20","Reproduced","typesd",0.0288606106471462,0.0116929299976029,0.0280260519869626,0.119497111452986
